ticker,quarter,call_date,fwd_excess_1d,fwd_raw_1d,fwd_excess_5d,fwd_raw_5d,fwd_excess_21d,fwd_raw_21d,fwd_excess_63d,fwd_raw_63d
AMD,Q4-2023,2024-01-30,0.003549617333494348,0.016637803360445957,-0.012138235878967896,0.019381000373803525,0.14635523085459745,0.20842027812871144,-0.17906072552298213,-0.13966245946670952
AMD,Q1-2024,2024-04-30,0.0037470260071128525,0.013100432062641998,0.031152643021054693,0.06480897322958867,0.10285661919126521,0.15685859120989276,-0.17006728918417235,-0.08130595854267408
AMD,Q2-2024,2024-07-30,-0.06848007640852793,-0.0826412153549807,-0.05105817639042043,-0.10942689663701477,-0.00669789185714853,0.006990654730705259,0.09123046401215107,0.15067832860069363
AMD,Q3-2024,2024-10-29,-0.010881239929687148,-0.030484512740472258,-0.04256996897583509,-0.02355316188588763,-0.11571200030255868,-0.07685069285783963,-0.2651117498302241,-0.2310229343902902
AMD,Q4-2024,2025-02-04,-0.019991777241976427,-0.016516368528152192,-0.0011657161206989342,-0.0025890626729444532,-0.05761778620198488,-0.10445499825459126,-0.035520392778930376,-0.10400858230240695
AMD,Q1-2025,2025-05-06,0.006384105957756958,0.01335189647012025,0.12585979689642213,0.1729772868152113,0.09003190331089694,0.15773218149444612,0.5877808795178223,0.7178157916302592
AMD,Q2-2025,2025-08-05,0.057728250878585574,0.05689062688255975,0.11144100888479058,0.13057873767379413,-0.09629418772226461,-0.07344284015538671,0.46286145492597175,0.5329206138837772
AMD,Q3-2025,2025-11-04,-0.0619503788770126,-0.0726797120896786,0.001427286893650681,0.009987236024959323,-0.16161986325595545,-0.1496507914057409,-0.20908610856537901,-0.18682942550444848
AMD,Q4-2025,2026-02-03,-0.02592430763896414,-0.038413518895165866,0.058477633278719354,0.06688645400045679,-0.018637583761232368,-0.0387632232928129,,
AVGO,Q1-2024,2024-03-07,-0.011060218461379945,-0.011920016426322566,-0.055349756974953035,-0.05594765083454567,0.0057138552494517825,0.02371905779005634,0.03259735635573091,0.07939865178221361
AVGO,Q2-2024,2024-06-12,0.03277461997692188,0.03338305590241819,-0.01916242985868899,-0.012126402591446928,-0.03264810839962684,0.012023928039680332,-0.03747460927388069,0.0019264288360607562
AVGO,Q3-2024,2024-09-05,0.016687113681790766,0.02788331370903152,0.18394880414691994,0.2240146619761696,0.22815552638147452,0.28215943075061056,0.12225954976183773,0.24839913620594745
AVGO,Q4-2024,2024-12-12,0.10782971833652755,0.11209959906572542,0.00048384420458813526,-0.017838134313670206,0.04074986986102225,0.02324145657646448,-0.06948531442556072,-0.12769563954728702
AVGO,Q1-2025,2025-03-06,-0.02727279616452749,-0.053908564202035936,0.025738611296753477,0.0029749200100981366,-0.08539970536333585,-0.20698387223141557,0.22695246087513166,0.270400056347079
AVGO,Q2-2025,2025-06-05,-0.011632932229315385,-0.010731752473114087,0.010739848387515627,0.007167998827863453,0.0833969877804408,0.12806906386119699,0.3169470146429656,0.4030839725337805
AVGO,Q3-2025,2025-09-04,0.029673125910063547,0.03212985825348258,0.058878691009834894,0.0745915832294406,-0.037021105532930365,0.0035079882435284926,0.07939678839205833,0.13972600555196246
AVGO,Q4-2025,2025-12-11,-0.05438882124983746,-0.055899709032588674,-0.05560541514812034,-0.05437174704733627,-0.06947701825659924,-0.0538705135430092,-0.09240705819674455,-0.10559052423508264
AVGO,Q1-2026,2026-03-04,0.00622556369676186,-0.006881571374074635,0.03199972913696891,0.009616334544300997,-0.022923833413851957,-0.05313103180561363,,
BLK,Q4-2023,2024-01-12,0.0005673166004365182,-0.004991290059063291,-0.01941736303500674,0.0014909448136488646,-0.05733219312578697,-0.007556421755136822,-0.11034057443313561,-0.0468270443240657
BLK,Q1-2024,2024-04-12,-0.015634029913707437,-0.017457778918252176,0.005601653562875453,-0.003774758750398677,0.015018429660880628,0.05238594991189993,-0.009977605985763027,0.11338919207800169
BLK,Q2-2024,2024-07-15,0.010644270438078807,-0.003376902485160427,0.02050416550151224,0.0008887335726646128,0.0534633528596945,0.016091284326546385,0.1444373556108811,0.18206119117457398
BLK,Q3-2024,2024-10-11,0.023177406259837663,0.015407672114379212,0.010064586888537619,0.0088837199944376,0.023473413202605986,0.04500270281643193,0.008805408681046734,0.026698317259556736
BLK,Q4-2024,2025-01-15,-0.0007601684296763,0.009279785206313784,-0.002764900424739869,0.024836337693174393,-0.051487635437727386,-0.017936837804071182,-0.008077948238006227,-0.11565427747480539
BLK,Q1-2025,2025-04-11,0.0011041044970472313,-0.0016967051372157593,0.018949677766077366,-0.0030675784916864846,-0.003260530542325002,0.08664535565816522,0.061235760302122744,0.22250852954811307
BLK,Q2-2025,2025-07-15,0.015261918351277215,0.021381608328794766,0.019228427338159992,0.035232549138341396,0.03878929431166123,0.07199887503189162,0.04488417515845744,0.10871744932719496
BLK,Q3-2025,2025-10-14,-0.01915875097161679,-0.025969012125600766,-0.0645813616391544,-0.0606273885546309,-0.12087301645964366,-0.11054471866595827,-0.07729092033619611,-0.033519357677530004
BLK,Q4-2025,2026-01-15,-0.025311526092828607,-0.04566831181637365,-0.03733712309966275,-0.03579013197218728,-0.05319884723278823,-0.06096273761241111,-0.12109864342011412,-0.09363497178537294
BLK,Q1-2026,2026-04-14,-0.025011216795878144,-0.022553905173273825,-0.002874252291968249,0.013227155674343072,,,,
C,Q4-2023,2024-01-17,-0.004444125056824788,0.008021974172477409,0.02704319088374252,0.05126195214328,0.035106534812324286,0.08341823020063499,0.10036914669902375,0.15195899421325687
C,Q1-2024,2024-04-12,-0.02447399766543712,-0.02629774666998186,0.050189307070568234,0.040812894757294105,0.05796063598885981,0.09532815623987911,0.035348762616396634,0.15871556068016135
